"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"187",11,"LaJohntay Wester",BAL,"13","148","226","183.6","25.0","-"
"188",11,"Myles Price",MIN,"6","162","228","184.0","24.0","-"
"189",11,"Tylan Wallace",CLE,"11","154","223","184.6","22.3","-"
"190",11,"Chris Blair",ATL,"11","140","222","171.8","31.2","-"
"191",11,"Jacob Cowing",SF,"8","152","248","188.0","35.6","-"
"192",11,"CJ Williams",JAC,"7","161","187","175.3","10.1","-"
"193",11,"Simi Fehoko",ARI,"14","164","232","190.0","24.8","-"
"194",11,"Nikko Remigio",KC,"5","176","238","193.4","22.7","-"
"195",11,"Ke'Shawn Williams",CIN,"6","172","188","180.5","6.3","-"
"196",11,"Mason Tipton",NO,"8","130","191","160.0","24.9","-"
"197",12,"Tom Kennedy",DET,"6","133","180","156.5","23.5","-"
"198",12,"Ryan Miller",MIA,"6","190","196","192.0","2.8","-"
"199",12,"Jackson Meeks",DET,"6","158","172","165.0","7.0","-"
"200",12,"Jeshaun Jones",MIN,"6","193","201","195.7","3.8","-"
"201",12,"Van Jefferson",WAS,"7","151","194","172.5","21.5","-"
"202",12,"Theo Wease Jr.",LAC,"7","166","180","173.0","7.0","-"
"203",12,"Xavier Restrepo",TEN,"9","162","186","174.0","12.0","-"
"204",12,"Velus Jones Jr.",SEA,"11","173","189","181.0","8.0","-"
"205",12,"Mitch Tinsley",HOU,"8","178","187","182.5","4.5","-"
"206",12,"Kevin Austin Jr.",NO,"8","174","192","183.0","9.0","-"
"207",12,"Andrew Armstrong",KC,"5","180","189","184.5","4.5","-"
"208",12,"Emmanuel Henderson Jr.",SEA,"11","171","212","191.5","20.5","-99"
"209",12,"Anthony Gould",FA,"0","168","224","196.0","28.0","-"
"210",12,"Beaux Collins",ATL,"11","181","213","197.0","16.0","-109"
"211",12,"Cody White",FA,"0","174","229","201.5","27.5","-"
"212",12,"Dillon Bell",MIN,"6","183","229","206.0","23.0","-"
"213",12,"Dominic Lovett",DET,"6","198","217","207.5","9.5","-"
"214",12,"Casey Washington",CAR,"5","188","235","211.5","23.5","-"
"215",12,"Dylan Drummond",ATL,"11","191","237","214.0","23.0","-"
"216",12,"Deven Thompkins",LV,"13","187","246","216.5","29.5","-"
"217",12,"Braxton Berrios",NYG,"8","189","254","221.5","32.5","-"
"218",12,"Ronnie Bell",LV,"13","206","242","224.0","18.0","-"
"219",12,"David Moore",CAR,"5","212","238","225.0","13.0","-"
"220",12,"Jalin Hyatt",NYG,"8","215","235","225.0","10.0","-"
"221",12,"Bryce Oliver",CLE,"11","219","231","225.0","6.0","-"
"222",12,"Ricky White III",SEA,"11","225","227","226.0","1.0","-"
"223",12,"Trent Sherfield Sr.",BUF,"7","220","234","227.0","7.0","-"
"224",13,"Tyren Montgomery",TEN,"9","230","234","232.0","2.0","-"
"225",13,"Trey Palmer",NO,"8","216","250","233.0","17.0","-"
"226",13,"K.J. Osborn",TEN,"9","225","256","240.5","15.5","-"
"227",13,"Charlie Jones",NYG,"8","239","249","244.0","5.0","-"
