"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"222",9,"George Holani",SEA,"RB70","165","291","230.6","33.4","+49"
"223",9,"Malachi Fields",NYG,"WR83","156","283","222.8","32.1","+4"
"224",9,"Eddy Pineiro",SF,"K6","172","240","207.8","10.2","-24"
"225",9,"Chase McLaughlin",TB,"K7","182","250","222.6","13.8","-23"
"226",9,"Emanuel Wilson",SEA,"RB71","173","321","234.6","33.9","+47"
"227",9,"Troy Franklin",DEN,"WR84","174","301","238.1","29.2","+101"
"228",9,"Cade Otton",TB,"TE27","184","273","231.6","24.2","+26"
"229",9,"Isaac TeSlaa",DET,"WR85","177","265","217.7","23.2","-4"
"230",9,"Green Bay Packers",GB,"DST13","181","389","217.6","41.4","-23"
"231",10,"Cleveland Browns",CLE,"DST14","185","500","229.1","56.2","-6"
"232",10,"Geno Smith",NYJ,"QB28","189","316","251.0","29.5","+4"
"233",10,"Oronde Gadsden II",LAC,"TE28","105","301","216.3","39.6","-1"
"234",10,"Antonio Williams",WAS,"WR86","192","304","248.3","29.2","-4"
"235",10,"Jack Bech",LV,"WR87","202","295","252.3","21.7","+66"
"236",10,"Kaleb Johnson",GB,"RB72","174","305","235.7","26.7","-42"
"237",10,"Jake Bates",DET,"K8","187","257","225.9","14.0","-48"
"238",10,"Aaron Rodgers",PIT,"QB29","152","301","231.4","39.6","-53"
"239",10,"Tyler Loop",BAL,"K9","178","259","210.3","13.7","-24"
"240",10,"Buffalo Bills",BUF,"DST15","189","339","228.8","28.2","0"
"241",10,"Samaje Perine",CIN,"RB73","174","314","248.6","36.6","+68"
"242",10,"Devaughn Vele",NO,"WR88","168","308","244.3","36.6","+38"
"243",10,"Tank Dell",HOU,"WR89","172","310","228.4","34.1","+17"
"244",10,"Evan McPherson",CIN,"K10","179","332","222.1","29.3","-59"
"245",10,"Detroit Lions",DET,"DST16","185","338","226.1","31.7","-36"
"246",10,"Will Reichard",MIN,"K11","197","306","251.6","25.8","-80"
"247",10,"Caleb Douglas",MIA,"WR90","143","330","226.5","48.4","-14"
"248",10,"Cairo Santos",CHI,"K12","184","332","225.4","26.3","+20"
"249",10,"Keon Coleman",BUF,"WR91","198","288","249.8","22.0","+31"
"250",10,"Ted Hurst III",TB,"WR92","180","355","250.0","41.8","+5"
"251",10,"Ollie Gordon II",MIA,"RB74","226","294","252.7","18.3","+40"
"252",10,"Evan Engram",DEN,"TE29","222","303","257.4","16.7","+27"
"253",10,"Chris Brooks",GB,"RB75","154","294","232.9","38.0","+47"
"254",10,"David Njoku",LAC,"TE30","209","348","254.3","27.1","-73"
"255",10,"Demond Claiborne",MIN,"RB76","148","302","241.7","32.7","+19"
"256",10,"Harrison Mevis",LAR,"K13","191","253","228.7","14.9","-55"
"257",10,"Tyquan Thornton",KC,"WR93","198","326","266.4","25.5","-"
"258",10,"Colby Parkinson",LAR,"TE31","218","313","259.0","18.8","+19"
"259",10,"Fernando Mendoza",LV,"QB30","193","323","267.8","30.9","-94"
"260",10,"Kendre Miller",NO,"RB77","200","312","268.6","25.2","-"
"261",10,"Ty Johnson",BUF,"RB78","188","308","259.5","26.4","+28"
"262",10,"LeQuint Allen Jr.",JAC,"RB79","237","331","272.0","18.5","+55"
"263",10,"Andy Borregales",NE,"K14","186","252","224.6","16.2","-24"
"264",10,"Isaiah Davis",NYJ,"RB80","218","288","254.9","21.4","-"
"265",10,"Chris Boswell",PIT,"K15","208","310","249.9","19.1","-50"
